display_taxon	NPT03	NPT05	NPT06	NPT07	NPT09	NPT10	NPT11	NPT12	NPT13	NPT14	NPT15	NPT17	NPT18	NPT19	NPT20	NPT22	NPT23	NPT24	NPT25	PT01	PT02	PT03	PT04	PT05	PT06	PT07	PT08	PT09	PT10	PT11	PT12	PT13	PT14	PT15	PT16	PT17	PT18	PT19	PT20	PT21	PT22	PT23	PT24	PT25
Aerococcus christensenii	0.007721373418761295	0.0	0.0	0.0	0.00032549056077373756	0.0	0.0	0.0	0.0	0.0	0.0012156576707999028	0.004175141847767905	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0017983455221196498	0.0	0.0006747638326585695	0.0	0.019077901430842606	0.0	0.0	0.0	0.0	0.0	0.002383384405856316	0.0	0.001716815758561489	0.0	0.0	0.0	0.006804223920823576	0.0	0.004275814616405367	0.0	0.03752779836916234	0.04360937137555092	0.0572306964644673	0.0	0.004616196254286468
Anaerococcus hydrogenalis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005285412262156448	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Anaerococcus sp900258475	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0019027484143763213	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Anaerococcus tetradius	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010491382079006531	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000827357970215113	0.0	0.0027873421872438102	0.0	0.0	0.001720155305450435	0.0	0.0007412898443291327	0.0013917884481558804	0.0009459619250325174	0.0	0.0
Arcanobacterium_A_386370 sp000758825	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00991475166790215	0.00918580375782881	0.007922431122147333	0.0	0.0
Atopobium deltae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0004633061527057079	0.0	0.0	0.0	0.0
Bacilli (class)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0018035743564518774	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria (kingdom)	0.0	0.0	0.0	0.0	0.00023249325769552682	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005301992665576813	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Berryella sp001552935	0.0009035649745358961	0.0	0.0	0.0	0.00046498651539105364	0.0	0.0	0.0	0.0	0.0	0.0	0.0018199336259501124	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0028773528353914397	0.0	0.0	0.0	0.0001987281399046105	0.0	0.0	0.0	0.00030270008475602374	0.00015453562046051616	0.0010214504596527069	0.0	0.0	6.89464975179261e-05	0.0	0.003443187407771766	0.00017673308885256042	0.0	0.000786356711063056	0.0	0.0007412898443291327	0.0013453954998840175	0.0023649048125812936	0.0	0.0003956739646531258
Bifidobacterium vaginale	0.005832101199277148	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006102130392891553	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0035966910442392997	0.003257650542941757	0.006265664160401002	0.003948351296553196	0.0	0.0	0.0	0.0	0.0001210800339024095	0.0003090712409210323	0.0	0.0	0.001987891930965935	0.0	0.0	0.0	0.004595060310166571	0.0	0.0	0.0008097762073027091	0.0	0.0	0.0	0.0	0.0
